UserId_Url,UserId,Tweet_Url,Date-Time,Tweets,css-4rbku5 href 5,Comments,Retweets,Likes,css-4rbku5 2
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1708101258748305447,Sep 30,Service Announcement: Beware of fake accounts impersonating SAS on X.,https://twitter.com/SAS/status/1708101258748305447/photo/1,23,17,89,
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1721422285154791766,Nov 6,"Every journey has a story to tell. Sometimes, it’s about discovering something new, other times it’s about reuniting with someone close to your heart. Just like the traveler in our latest film. So, where are you heading next? And who would you like to visit?",,1,2,27,#JourneysThatMatter
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1720790522472583511,Nov 4,Today we're opening a new seasonal route and heading to sunny Agadir,https://twitter.com/SAS/status/1720790522472583511/photo/1,4,5,60,#flysas
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1720110078550823345,Nov 2,Missed your chance to book a seat on our last commercial Boeing 737 flight? Head over to SAS' Instagram profile for your chance to win one of the last available spots on the flight.,https://twitter.com/SAS/status/1720110078550823345/photo/1,6,25,181,#flysas
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1705259087594692754,Sep 22,SAS EuroBonus won in the Best Elite Membership Benefits category at this year’s Frequent Traveler awards. Thank you for voting for us!,https://twitter.com/SAS/status/1705259087594692754/photo/1,8,5,44,#flysas
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1704779189205737783,Sep 21,We are proud to share that we have been awarded the Global 5-Star rating by APEX. This is made possible by the hard work and dedication of our entire SAS team. A big thank you to our colleagues around the company and to our travelers who voted for us,https://twitter.com/SAS/status/1704779189205737783/photo/1,7,5,52,#journeysthatmatter
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1703650091431543106,Sep 18,"Where are you heading on your next journey? Are you eager to explore something new? Or perhaps you’re longing to relive an old memory, like the couple in our latest film?",,7,7,41,#JourneysThatMatter
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1703386146858836146,Sep 17,Did you spot the Run with EuroBonus jerseys on the streets of Copenhagen today?,https://twitter.com/SAS/status/1703386146858836146/photo/1,2,2,23,#flysas
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1697900740566569373,Sep 2,Run with SAS EuroBonus is at Tjejmilen in Stockholm today. We hope to see you there!,https://twitter.com/SAS/status/1697900740566569373/photo/1,26,9,38,#flysas
https://twitter.com/SAS,@SAS,https://twitter.com/SAS/status/1695791841247961540,Aug 27,"We are looking up with respect, toward the",https://twitter.com/SAS/status/1695791841247961540/photo/1,16,8,39,#Crew7
