userId_url,profile_photo,name,attached_media,UserId,Tweet_Url,Date-time,Tweets,Comments,Retweets,Likes,Impression/views,css-4rbku5 href 7,css-901oao 24,css-901oao 26,r-4qtqp9 href 3
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1692431667548528661,Aug 18,"𝕏 as humanity’s 
collective 
consciousness",84K,79K,207K,44M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719911692740481225,2h,Putting a wind generator on an electric also doesn’t work,5.3K,7.2K,88K,9.7M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719685781780938769,17h,AI safety is vital to the future of civilization,6.8K,8.8K,53K,17M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719685418369593440,17h,It would be a much better name!,16K,25K,269K,50M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719643130436227366,20h,Indeed,6.9K,32K,151K,29M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719498110538264781,Nov 1,Happy Halloween,10K,16K,266K,25M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719444510416032022,Nov 1,Joe Rohan shatters an arrow on Cybertruck that would easily go through a normal car,20K,23K,293K,47M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719435974092931217,Nov 1,Half-dressed as the wizard of Australia,4.8K,14K,94K,24M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719398881870356695,Oct 31,"The real battle is between the extinctionists and the humanists.

Once you see it, you can’t unsee it.",26K,71K,373K,47M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719390097731199148,Oct 31,"Having children should be incentivized, not be a financial penalty like it is in most countries!

We must create the next generation of humans or spiral into oblivion.",20K,28K,177K,40M,,,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719372716455645255,Oct 31,Finnish Presidential Debate on 𝕏,5.1K,9K,60K,24M,https://twitter.com/AaltoManagement/status/1719332484024869243,Show more,,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1572638567381307394/AEahAxu5_bigger.jpg,Rishi Sunak,https://pbs.twimg.com/tweet_video_thumb/F9tPdpXXgAIT7m_.jpg,@RishiSunak,https://twitter.com/RishiSunak/status/1719055211451306003,Oct 30,In conversation with,4.9K,4.8K,15K,8.5M,https://twitter.com/RishiSunak,reposted,Elon Musk,
https://twitter.com/elonmusk,https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_bigger.jpg,Elon Musk,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg,@elonmusk,https://twitter.com/elonmusk/status/1719241748910612663,Oct 31,The bellwether has sounded,6K,13K,97K,40M,,,,
