userId_url,css-4rbku5 href 2,UserId,username,Tweet_Url,Date-Time,tweet1,tweet2,r-4qtqp9 src 2,retweets,Comments,Retweets,Likes,css-4krbku5csd,Impressions,css-4rbku5 href 6,css-4rbku5 2,css-4rbku5 3,css-4rbku5 href 7,css-4rbku5 4,css-4rbku5 href 8,css-4rbku5 5,css-4rbku5 href 9,css-4rbku5 href 10,css-4rbku5 6,r-1p0dtai src,css-4rbku5 7,css-4rbku5 href 11,css-4rbku5 href 12,css-4rbku5 href 13,Tweets
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1721450997980291341,Nov 6,Thanks to each one of you for your kind wishes.,Grateful and Blessed.,https://abs-0.twimg.com/emoji/v2/svg/1f64f.svg,9.3K,21K,252K,5.9M,,,,,,,,,,,,,,,,,,Thanks to each one of you for your kind wishes.Grateful and Blessed.
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1716436377150296392,Oct 23,"Deeply saddened to hear about the passing of Bishan Singh Bedi ji.
My condolences to the family",,,3K,8.5K,130K,3.5M,,,,,,,,,,,,,,,,,,"Deeply saddened to hear about the passing of Bishan Singh Bedi ji.
My condolences to the family"
https://twitter.com/CdslIndia,https://twitter.com/CdslIndia,@CdslIndia,Ad,https://www.cdslindia.com/DP/dplist.aspx?twclid=232fz1kgd6la9h7j8cjd0729ix,,"Please update mandatory 6 KYC attributes to unfreeze your demat account.

Connect with your DP for any queries.",cdslindia.com,,109,1.1K,10K,5.9M,,,,,,,,,,,,,,,,,,"Please update mandatory 6 KYC attributes to unfreeze your demat account.

Connect with your DP for any queries.cdslindia.com"
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1712802184197497285,Oct 13,Usain paaji! Getting ready for tomorrow with a few extra 100m sprints if you’re watching,,,2.1K,7.7K,120K,7M,Quote,Usain St. Leo Bolt,https://twitter.com/usainbolt/status/1712791258236686401/photo/1,,,,,,,,,,,,,,,Usain paaji! Getting ready for tomorrow with a few extra 100m sprints if you’re watching
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1709169897354494063,Oct 3,Blue has always looked good on me,,https://abs-0.twimg.com/emoji/v2/svg/1f1ee-1f1f3.svg,1K,2.5K,40K,3M,Quote,E1 Series,https://twitter.com/hashtag/ChampionsOfTheWater?src=hashtag_click,#ChampionsOfTheWater,#PAIDPARTNERSHIP,https://twitter.com/hashtag/PAIDPARTNERSHIP?src=hashtag_click,#TEAMOWNER,https://twitter.com/hashtag/TEAMOWNER?src=hashtag_click,@E1Series,https://twitter.com/E1Series,https://twitter.com/E1Series/status/1709169083533427027/photo/1,,,,,,,Blue has always looked good on me
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1709127951235850535,Oct 3,I’m coming to win,I am so excited to be joining the,https://abs-0.twimg.com/emoji/v2/svg/1f499.svg,1.4K,3K,42K,3.1M,Quote,E1 Series,https://twitter.com/hashtag/ChampionsOfTheWater?src=hashtag_click,#ChampionsOfTheWater,#E1Series,https://twitter.com/hashtag/E1Series?src=hashtag_click,#PAIDPARTNERSHIP,https://twitter.com/hashtag/PAIDPARTNERSHIP?src=hashtag_click,@E1series,https://twitter.com/E1Series,https://twitter.com/hashtag/TEAMOWNER?src=hashtag_click,#TEAMOWNER,blob:https://twitter.com/8a00c1a7-f33f-473d-9f25-51f4aee90957,,,,,I’m coming to winI am so excited to be joining the
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://twitter.com/hardikpandya7,https://twitter.com/hardikpandya7,hardik pandya,@hardikpandya7,,,Follow,Click to Follow hardikpandya7,,Cricketer For enquiries please contact: hardik.manager@riseworldwide.in,,,,,,,,,,,,,,,,,,,,,FollowClick to Follow hardikpandya7
https://twitter.com/ImRo45,https://twitter.com/ImRo45,Rohit Sharma,@ImRo45,,,Follow,Click to Follow ImRo45,,,,,,,,,,,,,,,,,,,,,,,FollowClick to Follow ImRo45
https://twitter.com/iamsrk,https://twitter.com/iamsrk,Shah Rukh Khan,@iamsrk,,,Follow,Click to Follow iamsrk,,,,,,,,,,,,,,,,,,,,,,,FollowClick to Follow iamsrk
https://twitter.com/i/connect_people?user_id=71201743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1708446377599246744,Oct 1,Get double the excitement with,". A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @",,740,1.7K,23K,1.6M,http://,,https://twitter.com/hashtag/OceanDrinks?src=hashtag_click,#OceanDrinks,#ad,https://twitter.com/hashtag/ad?src=hashtag_click,,,@oceanbeverages,https://twitter.com/OceanBeverages,,,blob:https://twitter.com/49502d06-da08-4f93-8845-fc1d668d63da,oceanbeverages.in,https://t.co/KjIujxo0vH,,,"Get double the excitement with. A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @"
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1709127951235850535,Oct 3,I’m coming to win,I am so excited to be joining the,https://abs-0.twimg.com/emoji/v2/svg/1f499.svg,1.4K,3K,42K,3.1M,Quote,E1 Series,https://twitter.com/hashtag/ChampionsOfTheWater?src=hashtag_click,#ChampionsOfTheWater,#E1Series,https://twitter.com/hashtag/E1Series?src=hashtag_click,#PAIDPARTNERSHIP,https://twitter.com/hashtag/PAIDPARTNERSHIP?src=hashtag_click,@E1series,https://twitter.com/E1Series,https://twitter.com/hashtag/TEAMOWNER?src=hashtag_click,#TEAMOWNER,blob:https://twitter.com/8a00c1a7-f33f-473d-9f25-51f4aee90957,,,,,I’m coming to winI am so excited to be joining the
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1708346001273315593,Oct 1,.,has launched the Lively Lychee flavour in a cool,,799,1.9K,28K,1.5M,http://,,https://twitter.com/hashtag/CheerforIndia?src=hashtag_click,#CheerforIndia,#OceanDrinks,https://twitter.com/hashtag/OceanDrinks?src=hashtag_click,#ad,https://twitter.com/hashtag/ad?src=hashtag_click,@oceanbeverages,https://twitter.com/OceanBeverages,,,blob:https://twitter.com/3506e944-4489-47be-9b5d-f7033d8f927a,oceanbeverages.in,https://t.co/KjIujxo0vH,,,.has launched the Lively Lychee flavour in a cool
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1709127951235850535,Oct 3,I’m coming to win,I am so excited to be joining the,https://abs-0.twimg.com/emoji/v2/svg/1f499.svg,1.4K,3K,42K,3.1M,Quote,E1 Series,https://twitter.com/hashtag/ChampionsOfTheWater?src=hashtag_click,#ChampionsOfTheWater,#E1Series,https://twitter.com/hashtag/E1Series?src=hashtag_click,#PAIDPARTNERSHIP,https://twitter.com/hashtag/PAIDPARTNERSHIP?src=hashtag_click,@E1series,https://twitter.com/E1Series,https://twitter.com/hashtag/TEAMOWNER?src=hashtag_click,#TEAMOWNER,blob:https://twitter.com/8a00c1a7-f33f-473d-9f25-51f4aee90957,,,,,I’m coming to winI am so excited to be joining the
https://twitter.com/imVkohli,https://twitter.com/imVkohli,@imVkohli,·,https://twitter.com/imVkohli/status/1708446377599246744,Oct 1,Get double the excitement with,". A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @",,740,1.7K,23K,1.6M,http://,0:29,https://twitter.com/hashtag/OceanDrinks?src=hashtag_click,#OceanDrinks,#ad,https://twitter.com/hashtag/ad?src=hashtag_click,,,@oceanbeverages,https://twitter.com/OceanBeverages,,,blob:https://twitter.com/49502d06-da08-4f93-8845-fc1d668d63da,oceanbeverages.in,https://t.co/KjIujxo0vH,,,"Get double the excitement with. A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @"
