userId_url,profile_photo,css-4rbku5 href 2,UserName,UserId,Tweet_Url,date-time,Tweets,css-4rbku5 href 5,attached_media,tweets,Comments,Retweets,Likes,css-4rbku5 href 6,impression/views,css-4rbku5 href 7,likes,css-4rbku5 2,css-4rbku5 href 8,css-901oao 12,css-4rbku5 href 9,retweeted date,css-901oao 16,css-901oao 17,css-4rbku5 4,css-4rbku5 href 10,css-901oao 25
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1719464988119613930,Nov 1,"New features on Search and Lens to help learners get a deeper understanding of math and science topics on Search, including step-by-step explanations and solutions for math problems, help with physics word problems + new 3D models of science topics.",https://t.co/yVnFbhsd2j,https://pbs.twimg.com/card_img/1718994177143574528/sFTh0uWs?format=jpg&name=small,blog.google,72,206,1.3K,https://twitter.com/sundarpichai/status/1719464988119613930/analytics,230K,,,,,,,,,,,,
https://twitter.com/demishassabis,https://pbs.twimg.com/profile_images/691700243809718272/z7XZUARB_bigger.jpg,https://twitter.com/demishassabis,Demis Hassabis,@demishassabis,https://twitter.com/demishassabis/status/1719345831730368596,Oct 31,Excited to share major progress on next generation of AlphaFold! Together with,https://t.co/zmR06BlrQx,https://pbs.twimg.com/card_img/1719344316600958976/CSJ2MGw8?format=jpg&name=small,deepmind.google,38,448,2K,https://twitter.com/demishassabis/status/1719345831730368596/analytics,315K,https://twitter.com/sundarpichai,Sundar Pichai,@IsomorphicLabs,https://twitter.com/IsomorphicLabs,", we’ve significantly advanced accuracy & expanded coverage beyond proteins to other key biomolecular classes. Continuing to accelerate science at digital speed",,,,,,,
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1717691479991410986,Oct 27,Today we’re building on our commitment to safe + secure AI with the first bug bounty program specific to generative AI. We’re also expanding our open source security work to make info about AI supply chain security universally discoverable and verifiable.,https://t.co/HRgFzWFL8z,https://pbs.twimg.com/card_img/1720198575370498049/6Mas6Em8?format=jpg&name=900x900,blog.google,81,121,684,https://twitter.com/sundarpichai/status/1717691479991410986/analytics,133K,,,,,,,,,,,,
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1717682000428220519,Oct 27,AI is making it easier to explore and navigate with,,https://pbs.twimg.com/ext_tw_video_thumb/1717681972900982784/pu/img/exlFROzRocT0OaKD.jpg,,51,156,1.1K,https://twitter.com/sundarpichai/status/1717682000428220519/analytics,172K,,,@googlemaps,https://twitter.com/googlemaps,". Immersive View for routes is coming to 15 cities and lets you preview each step of a walking, driving or biking route in 3D, and Lens in Maps is expanding to 50+ new cities.",https://t.co/sIxsgTbvKF,https://,,,,,
https://twitter.com/xdadevelopers,https://pbs.twimg.com/profile_images/1470454627825029122/6pOlVWyd_bigger.jpg,https://twitter.com/xdadevelopers,XDA,@xdadevelopers,https://twitter.com/xdadevelopers/status/1712151580751835235,Oct 11,Review:,https://t.co/j80kzhTdpv,https://pbs.twimg.com/card_img/1719842485890105344/Rs0NPcsp?format=jpg&name=small,xda-developers.com,10,94,307,https://twitter.com/xdadevelopers/status/1712151580751835235/analytics,92K,https://twitter.com/sundarpichai,Sundar Pichai,@bencsin,https://twitter.com/bencsin,couldn't put the Pixel 8 Pro down. It's paving the path forward for generative AI features on mobile devices,,,,,,,
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1712287474242982008,Oct 12,Important to call out and stand against antisemitism at this terrible moment. It’s never acceptable. Proud to sign this commitment to raise awareness and condemn this historic evil.,https://twitter.com/sundarpichai/status/1711814868985413907,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_normal.jpg,Quote,702,977,5.1K,https://twitter.com/sundarpichai/status/1712287474242982008/analytics,1.7M,,,,,,https://t.co/5K0JTg9jIt,https://,Sundar Pichai,@sundarpichai,,,
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1711814868985413907,Oct 11,"Deeply saddened by the terrorist attacks in Israel this weekend and the escalating conflict underway. Google has 2 offices and over 2,000 employees in Israel. It’s unimaginable what they’re experiencing. Our immediate focus since Saturday has been on employee safety. We’ve now…",,https://pbs.twimg.com/profile_images/1562059175542378499/x-dww2Yq_normal.jpg,Quote,402,1.5K,12K,https://twitter.com/sundarpichai/status/1711814868985413907/analytics,3.5M,,9to5Google,,,,,@9to5Google,,,,,
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1710037625346609418,Oct 6,"We’re also rolling out Android 14 this week, starting on Pixel. Big focus was on improving performance + efficiency of the platform, along with more customization options and accessibility features. The team made me this bugdroid to celebrate:)",https://twitter.com/sundarpichai/status/1710037625346609418/photo/1,https://pbs.twimg.com/media/F7tGKHdWcAE6Ouh?format=jpg&name=small,,124,277,2.1K,https://twitter.com/sundarpichai/status/1710037625346609418/analytics,245K,,,,,,https://t.co/m0E8TFg0Vh,https://,,,,,
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1709587317248217388,Oct 4,"So excited to see Pixel 8, Pixel 8 Pro, Pixel Buds Pro, Pixel Watch 2 + our new G3 Tensor unveiled at",https://t.co/AgVQ0MOzv6,https://pbs.twimg.com/card_img/1719727388135735296/xnchy8FC?format=jpg&name=small,blog.google,367,848,7.4K,https://twitter.com/sundarpichai/status/1709587317248217388/analytics,673K,https://twitter.com/hashtag/MadeByGoogle?src=hashtag_click,,,,"today. This line-up includes our latest advances across premium hardware, helpful software +",,,,,#GoogleAI,https://twitter.com/hashtag/GoogleAI?src=hashtag_click,", and represents the future of Pixel."
https://twitter.com/sundarpichai,https://pbs.twimg.com/profile_images/1710036756731510784/FyfFgM-B_bigger.jpg,https://twitter.com/sundarpichai,Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai/status/1708971042318713174,Oct 3,"More news today from Chromebooks: we’re introducing Chromebook Plus! This new category of Chromebooks has 2x the processing power, along with AI-powered tools, a 1080p camera, Adobe Photoshop + more. Biggest change we’ve made to Chromebooks yet.",https://t.co/WA9XIbJOnK,https://pbs.twimg.com/card_img/1718979864177389568/DpdQNoKS?format=jpg&name=small,cnet.com,135,311,2.2K,https://twitter.com/sundarpichai/status/1708971042318713174/analytics,254K,,,,,,,,,,,,
